width,height,url_length,is_iframe,is_ad
194,40,116,0,0
350,250,0,0,1
350,250,0,0,1
1905,941,0,0,1
304,154,152,1,1
304,154,83,1,1
304,154,0,1,1
304,154,118,1,1
231,78,72,0,0
304,78,233,1,1
300,150,0,1,1
300,150,228,1,1
320,50,0,1,1
396,396,209,0,0
255,255,209,0,0
255,255,210,0,0
255,255,209,0,0
135,90,209,0,0
135,90,209,0,0
295,197,149,0,0
289,230,210,0,0
289,230,210,0,0
289,230,210,0,0
289,230,209,0,0
1339,345,109,1,1
209,139,210,0,0
209,139,210,0,0
209,139,210,0,0
209,139,209,0,0
209,139,192,0,0
728,90,0,1,1
300,250,0,1,1
453,453,209,0,0
297,198,209,0,0
297,198,210,0,0
216,144,209,0,0
209,139,191,0,0
209,139,192,0,0
209,139,210,0,0
209,139,192,0,0
970,250,109,1,1
209,139,208,0,0
209,139,192,0,0
209,139,191,0,0
209,139,191,0,0
209,139,209,0,0
209,139,191,0,0
453,453,211,0,0
297,198,209,0,0
297,198,210,0,0
216,144,209,0,0
209,139,192,0,0
209,139,191,0,0
209,139,210,0,0
209,139,192,0,0
209,139,191,0,0
209,139,210,0,0
209,139,192,0,0
209,139,191,0,0
209,139,209,0,0
209,139,209,0,0
209,139,191,0,0
209,139,211,0,0
209,139,210,0,0
209,139,209,0,0
209,139,191,0,0
209,139,209,0,0
209,139,192,0,0
209,139,191,0,0
209,139,209,0,0
209,139,210,0,0
209,139,210,0,0
209,139,210,0,0
209,139,209,0,0
209,139,209,0,0
209,139,209,0,0
209,139,191,0,0
209,139,191,0,0
209,139,209,0,0
209,139,193,0,0
209,139,209,0,0
209,139,210,0,0
209,139,211,0,0
209,139,210,0,0
209,139,209,0,0
209,139,225,0,0
209,139,209,0,0
209,139,210,0,0
209,139,209,0,0
209,139,210,0,0
209,139,210,0,0
209,139,209,0,0
209,139,217,0,0
